University,Abbreviation,Department,Course title,Unit,Professor,Objective,Prerequisite,Required Skills,Outcome,References,Scores,Description,Projects,University Homepage,Course Homepage,Professor Homepage
University of Oslo,UIO,Dentistry,8th semester Dentistry,27,,,"
Prerequisites
Formal prerequisite knowledge
OD4100 – Odontologistudiet, 7. semester
A student who fails an examination normally cannot progress in the programme until the examination has been passed. Students who take a re-sit examination/postponed test, can continue to attend their courses until the examination results are announced, and if applicable until the result of the appeal has been announced. The student must stop attending courses and will be transferred to the following class if he/she does not appeal the examination result, or if the result of the appealed examination grade is that the student fails the examination.
Recommended previous knowledge
Before this semester begins it is expected that the students know how to examine the oral cavity and can recognize diseases in the teeth and their supporting tissues and of the oral mucosa (relative to healthy tissue). It is not expected that diagnoses can be made for all conditions, but it is expected that the students have advanced knowledge of extended prophylaxis, what precautions must be taken to prevent diseases in teeth and supporting tissues and which hygiene measurements must be applied to prevent spread of infections in the clinical environment by means of sterilization autoclaving and hygiene regimes. In addition, it is expected that the students know the different treatment modalities and under supervision get training to perform these.
",,"
Learning outcome
The emphasis is on oral rehabilitation within the following areas:

Toothloss/edentulous
Cariology
Pedontology
Loss of supporting structures
Malocclusion
Gerodontology and ageing
Oral tumours

The following subjects are included: behavioural science and communication, cariology, gerodontology, dental ethics, endodontology, prosthetic dentistry and oral function, pedodontics and behavioural sciences, periodontology, oral surgery and oral medicine, orthodontics, maxillofacial radiology, oral pathology, microbiology and infection control, biomaterial science, and pharmacology and pharmacotherapy.
Learning outcomes
",,,"
Course content
Theory and clinical practice is continued from the 7th semester. The practical competence is given high priority. At the same time the cause of diseases is highlighted. It is expected that students continue working on the master’s thesis during this semester which is to be submitted in the 10th semester.
",,https://www.uio.no,https://www.uio.no/studier/emner/odont/tannlege/OD4200/index.html,
University of Oslo,UIO,Education,Quality English Teaching,10,,,"
Prerequisites
Formal prerequisite knowledge
Admission requires having passed PROF1015 – Profesjonsidentitet, læring og undervisning, PROF3025 – Ledelse av elevers læring and PROF4045 – Tilrettelegging for elevers læring.
",,"
Learning outcome
After completing the course, you should have acquired:
Knowledge about

teaching methods and classroom practices in the English school subject
successful teaching in the English classroom
the application of English topics in the classroom
teaching and learning in English as a second language

Skills to

analyse and assess quality in English teaching practices
reflect on own and others’ English teaching
carry out systematic observations of English teaching practices using observation data
present and/or write scientific reports on English teaching
develop research questions and research designs in English as a school subject

Competence to

continuously develop your English teacher professionalism
apply research-based knowledge in the development of your English teaching practices

",,,"
Course content
The course gives you insight into quality teaching in English as a school subject in Norway. Based on observations of English lessons in Norwegian secondary schools, we discuss elements of quality teaching in English.
You will get the opportunity to explore how teachers teach a variety of topics within the English school subject, and how classroom practices align with research in English didactics. Collective workshops and individual study will form a basis from which you can develop your practice-based and research-informed English teacher professionalism.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/ils/EDID4001/index.html,
University of Oslo,UIO,Education,Master's Thesis in English subject didactics,30,,,"
Prerequisites
Formal prerequisite knowledge
Admission requires having passed PROF1015 – Profesjonsidentitet, læring og undervisning, PROF3025 – Ledelse av elevers læring and PROF4045 – Tilrettelegging for elevers læring
",,"
Learning outcome
After completing the subject you are to have learnt:
Knowledge about

the main theories and empirical findings in a limited field of research
the collection of data and/or sources needed for a theoretically informed data analysis
ethically informed research in schools and education
how to cite, paraphrase or refer to research

Skills to

find, understand, analyse and critically evaluate research studies sources of information and current theory in the field of English didactics
use relevant and suitable research methods for a project in the field of English didactics
write and structure scientific texts
refer to research literature in accordance with the Publication Manual of the American Psychological Association (APA) requirements
complete an independent, delimited and professionally relevant research project with support from a supervisor, and in accordance with current ethical guidelines

General competence to

convey professionally relevant research in accordance with advanced scientific requirements
critically reflect on and analyse research problems and research-ethical issues
further develop your subject didactic competence

",,,"
Course content
The Master’s thesis allows you to specialise in a self-selected research topic relevant for teaching English a school subject. The research process usually combines theory with the analysis of empirical data, but it is also possible to write a primarily theoretical thesis.
In a thesis that is based on empirical data you may use previously collected and available data, or collect your own. Supervision is intended to help you develop your analytical skills and your ability to convey the findings in accordance with academic conventions.
Your work on the thesis will use the project description you developed in the MA methods course as a point of departure.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/ils/EDID4009/index.html,
University of Oslo,UIO,Education,English in and out of school,10,,,"
Prerequisites
Formal prerequisite knowledge
PROF1015 – Profesjonsidentitet, læring og undervisning, PROF3025 – Ledelse av elevers læring og PROF4045 – Tilrettelegging for elevers læring
",,"
Learning outcome
After completing this course, you should have acquired:
Knowledge about

relevant educational policy documents and central topics for the bridging of the use of English outside school with English as a school subject in Norway
relevant theory and research on adolescents’ voluntary use of English outside school
how to bridge adolescents’ use of English outside school to the teaching and learning in the English classroom

Skills to

analyse and discuss empirical research, and relevant theory related to the use of English in and outside school, and connect these to each other
apply theoretical concepts related to the use of English outside school to classroom practice, and apply international research to the Norwegian context
collect and/or analyse data on the bridging of English use in and outside school
presenting knowledge from individual study

Competence to

continuously develop your teacher professionalism in English as a school subject
apply research-based knowledge in the development of your English teaching practices

",,,"
Course content
The course gives you insight into adolescents’ interest in and use of English outside school and what this means in relation to the teaching and learning of English as a school subject. Based on relevant theory and research, we discuss how to bring students’ personal uses of English into the English classroom.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/ils/EDID4102/index.html,
University of Oslo,UIO,Education,"Organisation, Governance and Management of Higher Education",15,,,"
Prerequisites
Formal prerequisite knowledge
Students should have knowledge in the area of educational sciences, political science and/or administrative science equivalent to 60 credits.
Recommended previous knowledge
You will be studying together with international master students in this course. This implies that you should preferable have experience in group work and academic communication (incl. writing) in English, and have an interest in the theoretical foundations of educational sciences as a multi-disciplinary field.
",,"
Learning outcome
Unit 1: Higher education governance and policy
In this unit the focus will be on system-level governance of higher education (HE) and the relationship between governmental policies and change within HE institutions. Themes of lectures include:

Competing models of HE governance
From the basic concepts to an understanding of the multi-level and multi-actor characteristics of higher education governance
Governance components, such as policy and management
Knowledge production, universities and development in low-income countries; special focus on sub-Saharan Africa
Thematic approaches to higher education policy – Quality and Funding

Unit 2: Higher education management
In this unit the processes of leadership, management and administration in higher education institutions will be addressed. The course examines:
1) how higher education institutions are organized and governed,
2) whether and if so, how they can be managed,
3) how organizational change can be interpreted from a conceptual and practical perspective.
The main topics covered are:

organizational reforms and change processes;
organizational identities and cultures;
organizational governance structures and leadership functions;
Key administrative functions in HE institutions, including personnel policies (HRM); financial administration, quality assessment, and data management.

",,,"
Course content
The course consist of two units


Unit 1: Higher education governance and policy


Unit 2: Higher education management


The aim of Unit  1is to provide you with a theoretical and conceptual foundation with respect to higher education governance and policy. As an important element in this students will get a better understanding of governance and policy changes, and the impacts of these changes on higher education practices.
The aim of Unit 2 students will have a developed better understanding of how higher education organizations (such as universities and colleges) function, and how organizational change processes in universities and colleges can be interpreted.  The aim is that students will be able to identify, analyze and address drivers, conditions and actors of organizational development and change in academia.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM2220/index.html,
University of Oslo,UIO,Education,Introductory Semester Course in Higher Education,15,,,[],,"
Learning outcome
The aim of this course is to provide you with a solid introduction into higher education as an academic field of studies.
Upon completion of the course you should
Knowledge

be able to identify and understand theories, concepts and terminology that form the foundation for the field of higher education studies
have critical understanding of the inter-disciplinary nature of the field
be able to interpret and analyse practical higher education problems and issues within the academic and empirical frameworks that are specific for the field

Skills

be able to analyse and critically relate to various sources of information and apply these with the aim to address specific problems at all relevant levels in the field of higher education studies
be able to identify relevant concepts and interpretations within the field of higher education studies and work independently with practical and conceptual problems

Competencies

be able to communicate about field-specific problems, analyses and conclusions within the field of higher education studies with academic specialists as well as a general audience of interested lay-persons
be able to apply their knowledge and skills in carrying out advanced academic assignments

",,,"
Course content
During the course you will be introduced to (i) the Norwegian higher education system in its regional, European and global contexts, (ii) the academic field of higher education studies (iii) the theories, concepts and terminology relevant to higher education, (iv) the basic characteristics and dynamics of higher education systems and institutions at all relevant levels.
The introductory semester course consists of three units:
Unit 1: Higher education: general introduction
During this unit you will be introduced to higher education as a field of study. This introduction is started with a discussion of the basic characteristics of higher education. The Norwegian higher education system is used as a frame of reference for this discussion. You will be stimulated to relate this discussion to the higher education system(s) from your country of origin. Special attention is given to the different disciplinary perspectives, and main concepts and theories used to study higher education.
Unit 2: Changes in higher education's primary processes
The course work in this unit focuses on various aspects of teaching and learning, knowledge production and services in higher education. The topic is approached from a number of perspectives. Main foci are issues of curriculum management, roles of teachers and students in teaching and learning, new modes of research, quality in Higher Education and information, communication and technology (ICT) as a teaching and learning instrument.
Unit 3: The conditions under which higher education operates
This unit deals with the changes in the system level governance of higher education. The reasons behind these changes may vary from country to country and from region to region. However, there are trends and developments, such as globalisation, new ideas about the role of the state, growing focus on innovation that are relevant for all countries. The changing relationship between government and higher education has important consequences through issues such as higher education structure and organisation, the  funding of higher education, quality assessment of education and research, institutional leadership, management and governance, relationship between teaching and research, innovation. In this unit these issues will be discussed comparatively, with an emphasis on but not limited to the developments in Europe.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4100/index.html,
University of Oslo,UIO,Education,Research Methods and Statistics - course I,10,,,[],,"
Learning outcome
The aim of the course is to provide you with an introduction to social science research methods.
Upon successful completion of the course you are expected to
Knowledge

have knowledge on various kinds of research questions and research designs
have basic knowledge on qualitative, quantitative and mixed methods research, as well as relevant ethical and philosophical considerations

Skills

be able to formulate research questions and develop a sufficiently coherent research design
be able to assess the appropriateness of different kinds of research designs and methodology, for instance in terms of their appropriateness, transparency and quality.

Competence

develop independent thinking for critically analyzing research reports.

",,,"
Course content
The themes of this introductory course are

introduction to philosophy of social science
how to formulate research questions
how to design social science research and the various types of research designs
introduction to quantitative and qualitative research

",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4112/index.html,
University of Oslo,UIO,Education,Research Methods - course II,10,,,"
Prerequisites
Recommended previous knowledge
Students must have successfully completed HEM4112 – Research Methods and Statistics - course I or equivalent in order to have access to this course.
",,"
Learning outcome
The course is aimed to further develop the knowledge and skills related to social science research methods.
Upon successful completion of the course you are expected to

Knowledge

have advanced knowledge on qualitative, quantitative and mixed methods techniques

Skills

be able to develop quantitative and qualitative instruments (building questionnaires, interview guides etc), as well as choose appropriate data analysis techniques in qualitative and quantitative research and conduct such analysis
be able to interpret data produced with various support tools

Competence

be able to critically assess the appropriateness of methodological choices and the quality of inferences in research

",,,"
Course content
This course focuses on methodological challenges of doing empirical research in social science:

Qualitative and quantitative research in practice, including competence in the use of appropriate software packages.
Drawing inferences from qualitative, quantitative and mixed methods research with a focus on validity.

",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4113/index.html,
University of Oslo,UIO,Education,History and Primary Processes of Higher Education,15,,,"
Prerequisites
Recommended previous knowledge
Students enrolled in the Master of Philosophy in Higher Education programme are required to have passed the previous course HEM4100 – Introductory Semester Course in Higher Education in order to attend this course. Students outside of the program must document relevant course work in bachelor degree and/or master degree.
",,"
Learning outcome
Upon completing the course, you should be able to:
Knowledge

show knowledge of the historical origins of higher education and of developments within liberal and professional education
demonstrate understanding of key concepts and perspectives on teaching, learning, research and assessment as well as how they are interrelated
demonstrate understanding of different curriculum models and how they relate to ways of organizing and conceptualizing knowledge
show knowledge of the shifting roles and expectations for students and staff in the emerging higher education context

Skills

use concepts and perspectives from learning theories to analyze and discuss opportunities for learning in different pedagogical approaches
identify theory-based arguments in empirical research on teaching, learning and assessment   

General competencies

engage in and contribute to theory-informed discussions about change drivers in higher education processes, such as implications of research-based education and the introduction of new technologies
critically analyze and discuss the contributions of empirical research to the collective understanding of primary processes in higher education

",,,"
Course content
 
This course focuses on the primary processes of teaching, learning, research and assessment in higher education as well as historical shifts that influenced how these have been understood, conceptualized and institutionalized.
Historical developments in the organization of teaching and research will be discussed in relation to the ‘Humboldian ideal’ of the research university and with respect to perspectives on liberal and professional education. Recent research about research, teaching and student learning, and theoretical frameworks within which new developments in the organization of learning, teaching and assessment can be understood, will be presented and discussed. In addition there will be a focus on curriculum development.
Topics to be addressed in the course include:

Historical developments of higher education institutions and their ways of organizing primary processes
Disciplinary differences and interdisciplinary practices
Research-based education and ways of organizing teaching, learning and assessment
New technologies and their implications for teaching and learning practices
Curriculum models and curriculum development
The shifting roles and experiences of students and staff in higher education

The overall perspective emphasizes the importance of ethical deliberations concerning the enterprise of teaching and research, and the importance of a critical understanding of past and present approaches to teaching and learning in higher education.
",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4210/index.html,
University of Oslo,UIO,Education,"Organisation, Governance and Management of Higher Education",15,,,[],,"
Learning outcome
The aim of the first unit is to provide you with a theoretical foundation in higher education governance and leadership models.
The aim of the second unit is to provide you with an understanding of the concept of governance and the conditions under which change in higher education takes place and of the consequences of attempts by governmental agencies and institutional leaders, to promote or enable change. As an important element in this, you will also learn what role quality plays in the current governance shifts that take place with respect to higher education.
",,,"
Course content
Organisation, Governance and Management of Higher Education consists of two units:
1. Higher education governance and policy
This unit focuses on system-level governance of higher education and the relationship between governance models and change within higher education institutions. Themes of lectures include:

competing models of governance
governance components, such as policy and management
examination of processes of change at the level of the higher education institutions

2. Higher education management
Higher education governance and leadership models are explored in relation to the following areas:

institutional planning
budgeting and financial management
evaluation and quality management
legal issues with respect to higher education administration
the application of higher education research to the practical problems of higher education administration

Topics included in the unit are amongst others

the relationship between state, market and the academic profession
intellectual property rights
the evaluation of educational programmes, research and institutions
models of public financing and institutional allocation
the relationship between higher education institutions and their environment
disciplinary and administrative cultures and leadership

",,https://www.uio.no,https://www.uio.no/studier/emner/uv/iped/HEM4220/index.html,
